RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-96.0,-83.2,6.3,-101.8,-104.37565115557787
-99.1,-85.5,9.2,-109.0,-106.42006540657238
-97.7,-85.2,14.2,-102.4,-104.6300178376385
-100.3,-86.2,10.2,-110.6,-107.13176967731098
-98.1,-85.0,9.2,-108.6,-105.70469802777424
-98.0,-84.4,12.3,-107.5,-104.706565132176
-96.1,-83.7,8.3,-103.6,-104.29084052462149
-91.5,-81.2,12.2,-98.0,-100.1042610200826
-94.2,-85.2,10.2,-103.8,-103.89246021681939
-98.0,-84.6,11.3,-102.7,-105.0178526745576
-95.2,-84.0,15.2,-101.2,-102.66743764706364
-98.1,-83.7,11.2,-106.7,-104.58847006732357
-96.0,-82.7,10.2,-103.2,-103.31521063494787
-93.7,-82.8,9.3,-102.3,-102.5369228707285
-93.9,-82.1,12.2,-103.4,-101.65659177063561
-93.2,-81.6,13.2,-98.8,-100.87197222285572
-97.3,-81.6,9.3,-101.0,-103.46673584877692
-92.0,-81.2,4.2,-106.4,-101.93751413739929
-88.1,-78.2,9.2,-99.0,-97.5637184884181
-88.9,-82.9,9.9,-97.0,-100.35346529851422
-96.7,-82.8,6.9,-107.1,-104.34407878232636
-88.4,-77.7,9.8,-94.3,-97.3008494831682
-92.2,-83.2,16.8,-100.7,-100.58274870197111
-91.4,-80.5,10.0,-100.6,-100.11968839266532
-91.3,-81.4,3.2,-104.6,-101.94002063294514
-100.4,-84.5,5.2,-104.3,-107.25136034027614
-103.1,-83.9,3.0,-107.0,-108.55676221972284
-88.7,-83.3,4.0,-106.5,-101.67400615006451
-90.0,-82.8,2.0,-103.6,-102.37637887469248
-89.7,-80.8,5.0,-97.1,-100.54227703989784
-94.0,-86.2,2.2,-100.3,-105.96543548250858
-89.0,-82.2,3.0,-98.8,-101.40457427303356
-89.9,-85.1,0.2,-104.3,-103.95668107156405
-87.3,-82.2,2.2,-100.3,-100.81594696767577
-89.4,-83.3,2.2,-103.2,-102.34564362291223
-86.2,-81.3,4.2,-102.8,-99.433892925995
-89.2,-83.6,-1.8,-104.9,-103.22831903859577
-84.8,-80.8,5.2,-95.2,-98.34049233137931
-88.8,-83.9,-3.8,-107.2,-103.6195974913606
-86.4,-82.1,-8.0,-102.6,-102.42027885914797
-90.1,-83.6,-4.8,-108.5,-104.23008395169025
-92.6,-84.3,-6.0,-105.3,-105.95872992532897
-92.7,-81.5,-2.8,-103.0,-103.82195446617732
-82.1,-78.2,-6.8,-101.9,-98.14241425469359
-77.0,-73.2,-3.8,-93.6,-92.545447084543
-84.9,-80.1,0.4,-104.6,-98.96826880888474
-88.7,-81.3,-0.6,-103.4,-101.50429951501178
-86.7,-76.5,-1.2,-97.4,-98.11020475762807
-81.5,-75.6,-0.6,-92.5,-95.2017976777279
-89.8,-83.3,3.8,-102.6,-102.19955089004588
-86.7,-76.5,-9.0,-104.8,-99.68258260367978
-77.4,-73.6,-4.0,-94.2,-92.98161205577188
-81.8,-72.8,-2.8,-92.2,-94.24181465285085
-86.1,-81.2,1.4,-96.8,-99.89937435770666
-83.2,-73.3,-3.6,-98.9,-95.29489786679854
-83.2,-76.7,-8.8,-96.0,-98.20806062787449
-76.4,-72.9,-7.2,-87.9,-92.80162212862
-80.1,-72.0,-1.2,-94.9,-92.7305762233105
-75.9,-67.0,-9.8,-91.9,-89.86902133497807
-80.7,-71.3,-3.8,-96.8,-93.13541940406502
-80.0,-70.3,-8.2,-87.3,-93.16511753671678
-75.4,-66.4,-9.0,-87.0,-89.15809200458413
-79.6,-73.2,-7.8,-92.5,-94.49869572900721
-78.6,-70.2,-14.0,-95.1,-93.66190916289617
-84.7,-78.6,-9.4,-100.3,-100.03284251256517
-76.0,-66.4,-9.6,-88.5,-89.5437136153045
-76.9,-69.7,-10.8,-95.6,-91.99268264657437
-77.3,-71.2,-10.2,-95.7,-92.8709316098604
-74.2,-66.9,-14.8,-89.2,-90.07220870412728
-65.6,-61.8,-21.6,-88.7,-84.85203763300852
-66.4,-61.8,-24.8,-83.4,-85.8500083486516
-65.5,-61.7,-32.0,-90.0,-86.84957953010391
-72.1,-69.7,-16.6,-96.4,-91.04453093621501
-72.9,-66.0,-21.0,-91.9,-90.25494411359541
-68.2,-63.8,-12.6,-83.6,-85.28166292446979
-68.3,-65.8,-15.2,-88.9,-86.94690684168962
-70.1,-67.6,-20.0,-89.5,-89.69583813524552
-70.7,-67.6,-16.2,-88.2,-89.19447737127007
-67.8,-60.0,-20.8,-86.6,-84.67391707758843
-74.4,-64.4,-21.0,-93.9,-90.03901267305315
-62.7,-54.5,-27.4,-81.8,-80.73793258189733
-68.5,-58.9,-30.4,-90.9,-86.31457888175876
-66.5,-63.0,-21.3,-89.9,-85.84676959933105
